Country,Year,Attack_Type,Target_Industry,Financial_Loss_in_Million_$,Number_of_Affected_Users,Attack_Source,Security_Vulnerability_Type,Defense_Mechanism_Used,Incident_Resolution_Time_in_Hours,loss_per_user,log_affected_users,log_financial_loss,risk_cluster,risk_profile_name
Russia,2020,DDoS,Banking,33.99,851863,Insider,Weak Passwords,Firewall,25,39.90078216802467,13.655182168656975,3.5550623063795967,0,High Loss Fast Resolution Incidents
UK,2020,SQL Injection,Education,35.57,386093,Unknown,Unpatched Software,VPN,42,92.1280624098339,12.86383614211604,3.59922823216129,2,High Loss Long Resolution Incidents
France,2018,DDoS,Telecommunications,12.72,959835,Unknown,Zero-day,Firewall,38,13.252277735235744,13.77451771551701,2.6188546222977394,1,Low Loss Wide Exposure Incidents
UK,2016,SQL Injection,Retail,24.51,46699,Unknown,Zero-day,Antivirus,53,524.8506391999829,10.75149944365699,3.23907053215372,3,High Per-User Damage Incidents
UK,2015,Phishing,Healthcare,81.75,98634,Unknown,Social Engineering,VPN,5,828.8217044832411,11.49918144717797,4.415824014257172,0,High Loss Fast Resolution Incidents
India,2015,Malware,Telecommunications,1.52,913114,Insider,Unpatched Software,VPN,15,1.664633331654098,13.724617110023985,0.924258901523332,1,Low Loss Wide Exposure Incidents
India,2017,Ransomware,Retail,69.91,340928,Unknown,Social Engineering,Antivirus,61,205.05795945184906,12.73942952344301,4.261411467315905,2,High Loss Long Resolution Incidents
Brazil,2023,Malware,Healthcare,61.56,907121,Unknown,Social Engineering,VPN,33,67.86305244835033,13.718032229423255,4.136126096237056,0,High Loss Fast Resolution Incidents
Brazil,2022,Man-in-the-Middle,Banking,59.43,121504,Insider,Weak Passwords,AI-based Detection,32,489.11969976297075,11.707710693179383,4.101485670373467,3,High Per-User Damage Incidents
France,2020,Ransomware,Healthcare,3.27,178268,Nation-state,Unpatched Software,Antivirus,2,18.3431687122759,12.09104892446139,1.4516138272405332,1,Low Loss Wide Exposure Incidents
France,2022,DDoS,Education,31.51,452360,Nation-state,Zero-day,Antivirus,65,69.65691042532497,13.022235812611523,3.481547734315814,2,High Loss Long Resolution Incidents
USA,2018,Ransomware,Retail,54.05,535110,Nation-state,Zero-day,Antivirus,2,101.00726953336697,13.190229480993358,4.0082418631686885,0,High Loss Fast Resolution Incidents
Brazil,2015,SQL Injection,Retail,74.74,562552,Nation-state,Unpatched Software,Encryption,37,132.85882905047,13.2402406308443,4.327306422473649,2,High Loss Long Resolution Incidents
Japan,2021,Phishing,Retail,81.26,245015,Nation-state,Zero-day,Firewall,41,331.65316409199437,12.409078793516962,4.409884962802278,2,High Loss Long Resolution Incidents
Australia,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57,69.71221011455714,12.277187929771546,2.770711962226921,1,Low Loss Wide Exposure Incidents
China,2024,DDoS,IT,61.42,412245,Nation-state,Social Engineering,Encryption,48,148.9890720324079,12.92937553752456,4.133885736842633,2,High Loss Long Resolution Incidents
India,2022,Ransomware,Retail,74.05,205336,Hacker Group,Social Engineering,AI-based Detection,2,360.6284333969689,12.232407810830967,4.318154558079471,0,High Loss Fast Resolution Incidents
China,2017,Phishing,Retail,45.83,395251,Unknown,Unpatched Software,Encryption,33,115.95163579598787,12.887278815147468,3.8465240231954505,0,High Loss Fast Resolution Incidents
Japan,2022,DDoS,IT,20.16,174510,Insider,Zero-day,AI-based Detection,60,115.52346570397111,12.06974305588714,3.052112606990099,2,High Loss Long Resolution Incidents
UK,2019,Phishing,Banking,60.07,197590,Insider,Zero-day,Encryption,62,304.0133610000506,12.193954516699923,4.112020747235043,2,High Loss Long Resolution Incidents
Brazil,2019,Man-in-the-Middle,Government,76.39,311908,Unknown,Weak Passwords,Encryption,68,244.9119612193339,12.650466757581958,4.348857573282368,2,High Loss Long Resolution Incidents
India,2022,Malware,IT,12.08,482213,Nation-state,Social Engineering,AI-based Detection,3,25.05117033344186,13.086143277903759,2.5710843460290524,1,Low Loss Wide Exposure Incidents
UK,2017,Malware,Government,66.25,726887,Hacker Group,Social Engineering,Firewall,13,91.14208948571098,13.496527686875874,4.208417018481948,0,High Loss Fast Resolution Incidents
Germany,2017,Malware,Banking,97.68,906914,Hacker Group,Zero-day,AI-based Detection,15,107.7059125782599,13.717804009159943,4.591882291661156,0,High Loss Fast Resolution Incidents
India,2019,Malware,Banking,37.03,358371,Insider,Weak Passwords,AI-based Detection,30,103.32867335805632,12.789326832030996,3.638375321940168,0,High Loss Fast Resolution Incidents
China,2024,Phishing,IT,24.92,852327,Unknown,Zero-day,VPN,44,29.237604815991983,13.655726708252825,3.255014871484074,2,High Loss Long Resolution Incidents
Japan,2018,DDoS,IT,9.9,942725,Insider,Zero-day,VPN,56,10.501471797183696,13.756530957358212,2.388762789235098,1,Low Loss Wide Exposure Incidents
Australia,2024,Malware,Telecommunications,83.69,824298,Nation-state,Unpatched Software,Firewall,4,101.52881603497764,13.62228860715003,4.4389975309335075,0,High Loss Fast Resolution Incidents
Brazil,2019,DDoS,Telecommunications,59.86,899413,Nation-state,Weak Passwords,Encryption,11,66.55451944768421,13.70949871913044,4.108576144468825,0,High Loss Fast Resolution Incidents
USA,2024,Malware,Healthcare,69.46,187312,Nation-state,Zero-day,VPN,58,370.82514734774065,12.14053629339146,4.255045172913092,2,High Loss Long Resolution Incidents
Japan,2018,Phishing,IT,72.01,401960,Nation-state,Unpatched Software,VPN,44,179.14717882376357,12.904110347969533,4.290596418067994,2,High Loss Long Resolution Incidents
Japan,2024,SQL Injection,Education,82.52,788243,Insider,Social Engineering,VPN,38,104.68852879124839,13.57756296558005,4.425086124134329,2,High Loss Long Resolution Incidents
France,2024,Phishing,Healthcare,59.79,906160,Unknown,Zero-day,VPN,48,65.98172508166328,13.716972273431857,4.107425301760631,2,High Loss Long Resolution Incidents
Germany,2016,Man-in-the-Middle,Retail,53.57,218143,Nation-state,Unpatched Software,Encryption,27,245.57285817101626,12.292910674162512,3.9994842811981406,0,High Loss Fast Resolution Incidents
Russia,2023,DDoS,IT,86.81,717258,Insider,Unpatched Software,Firewall,16,121.0303684308854,13.483192281690993,4.475175389371904,0,High Loss Fast Resolution Incidents
Brazil,2015,Phishing,IT,16.44,82841,Insider,Social Engineering,Encryption,36,198.45245711664515,11.324690458144207,2.8587664184808337,3,High Per-User Damage Incidents
India,2015,Ransomware,Healthcare,1.48,818172,Unknown,Social Engineering,VPN,30,1.8089105958160387,13.614829084666265,0.9082585601768908,1,Low Loss Wide Exposure Incidents
UK,2016,DDoS,Banking,61.15,219846,Insider,Social Engineering,AI-based Detection,13,278.1492499294961,12.300687128848352,4.12955081795672,0,High Loss Fast Resolution Incidents
Russia,2023,Phishing,Banking,9.24,612761,Nation-state,Unpatched Software,Encryption,71,15.079288662300636,13.325731885041927,2.3263016196113617,1,Low Loss Wide Exposure Incidents
Brazil,2021,Ransomware,Healthcare,78.08,989151,Unknown,Social Engineering,AI-based Detection,2,78.93638079524764,13.804603289392222,4.370459998302416,0,High Loss Fast Resolution Incidents
India,2019,DDoS,Government,63.63,47191,Insider,Unpatched Software,VPN,28,1348.3503210357908,10.761979665682912,4.168678699274804,3,High Per-User Damage Incidents
Russia,2017,Phishing,IT,53.07,388154,Nation-state,Zero-day,AI-based Detection,29,136.72408373995887,12.86916002336879,3.9902795033939134,0,High Loss Fast Resolution Incidents
UK,2022,Phishing,Retail,49.08,445458,Hacker Group,Unpatched Software,Antivirus,36,110.17873738938351,13.006860490232485,3.913621726791843,0,High Loss Fast Resolution Incidents
India,2015,Ransomware,Banking,81.81,41635,Nation-state,Unpatched Software,Encryption,37,1964.9333493455026,10.63672045663536,4.416548827045609,3,High Per-User Damage Incidents
Germany,2020,Phishing,Government,40.62,318648,Insider,Zero-day,Encryption,1,127.47608646531596,12.671845462498068,3.7285808209654885,0,High Loss Fast Resolution Incidents
Russia,2017,Malware,IT,20.85,484009,Insider,Weak Passwords,Firewall,41,43.07771136487131,13.089860846642354,3.084200921541599,1,Low Loss Wide Exposure Incidents
UK,2018,SQL Injection,Retail,72.21,597358,Nation-state,Zero-day,VPN,30,120.88228499492766,13.300273551675772,4.293332023658551,0,High Loss Fast Resolution Incidents
Brazil,2022,DDoS,Education,17.68,366968,Nation-state,Social Engineering,VPN,47,48.178587778770904,12.813032654804179,2.9274534328006965,1,Low Loss Wide Exposure Incidents
Germany,2021,SQL Injection,Retail,27.54,383781,Nation-state,Zero-day,Antivirus,57,71.75967543989931,12.85782996202914,3.3513066120486905,2,High Loss Long Resolution Incidents
USA,2016,Phishing,IT,68.23,877998,Nation-state,Weak Passwords,Antivirus,23,77.71088316829879,13.68540073366444,4.237434294689934,0,High Loss Fast Resolution Incidents
Germany,2022,SQL Injection,Banking,89.74,155736,Nation-state,Social Engineering,Encryption,63,576.2315713772025,11.955923966071424,4.507998274235818,2,High Loss Long Resolution Incidents
Brazil,2024,Ransomware,IT,74.06,813472,Hacker Group,Zero-day,VPN,17,91.04185515912042,13.609068015170333,4.318287793706875,0,High Loss Fast Resolution Incidents
Russia,2020,Man-in-the-Middle,Government,97.39,517452,Unknown,Zero-day,Firewall,9,188.21069393876147,13.156673978741123,4.588939172877674,0,High Loss Fast Resolution Incidents
Japan,2017,SQL Injection,Government,35.88,221051,Insider,Zero-day,Encryption,18,162.315483757142,12.306153246940218,3.607669398688393,0,High Loss Fast Resolution Incidents
Brazil,2020,SQL Injection,Retail,96.97,466897,Insider,Unpatched Software,VPN,58,207.69034712152788,13.053866097377355,4.584661309356551,2,High Loss Long Resolution Incidents
India,2019,Ransomware,Government,10.37,912202,Nation-state,Weak Passwords,VPN,15,11.368096101521374,13.723617832006795,2.4309783077624445,1,Low Loss Wide Exposure Incidents
France,2015,Phishing,Banking,95.72,551812,Insider,Weak Passwords,Encryption,69,173.46487571854183,13.22096449974841,4.571820206306537,2,High Loss Long Resolution Incidents
Germany,2022,SQL Injection,Telecommunications,29.02,859311,Insider,Zero-day,AI-based Detection,47,33.77124230924543,13.663887348058921,3.401863826205316,2,High Loss Long Resolution Incidents
France,2022,Ransomware,Healthcare,42.33,657939,Nation-state,Social Engineering,Antivirus,47,64.33727138838098,13.396869020739478,3.768845235751818,2,High Loss Long Resolution Incidents
India,2020,Phishing,Retail,25.79,907128,Insider,Unpatched Software,Antivirus,13,28.430386891375857,13.718039946106337,3.2880286835565173,0,High Loss Fast Resolution Incidents
USA,2019,DDoS,Retail,18.76,411707,Insider,Social Engineering,VPN,42,45.566385803496175,12.928069639194174,2.983659692319722,1,Low Loss Wide Exposure Incidents
France,2017,Man-in-the-Middle,Education,49.94,640572,Hacker Group,Social Engineering,Firewall,51,77.96157184516339,13.37011836728268,3.930648469551311,2,High Loss Long Resolution Incidents
UK,2024,Malware,Healthcare,33.21,79940,Unknown,Zero-day,Firewall,64,415.43657743307483,11.289044141569109,3.5325179989895132,3,High Per-User Damage Incidents
Australia,2016,Malware,Retail,45.71,461668,Nation-state,Unpatched Software,Firewall,10,99.01054437387907,13.042603463074318,3.8439582745140166,0,High Loss Fast Resolution Incidents
China,2016,DDoS,Telecommunications,83.02,281862,Insider,Social Engineering,AI-based Detection,4,294.54130035265484,12.549176416270779,4.431054865741236,0,High Loss Fast Resolution Incidents
China,2024,DDoS,IT,13.77,928751,Insider,Social Engineering,Encryption,26,14.826363578612566,13.74159702844382,2.6925980965432883,1,Low Loss Wide Exposure Incidents
Japan,2023,Man-in-the-Middle,Education,16.42,60322,Insider,Zero-day,VPN,22,272.205828719207,11.007468736193116,2.857618971424357,3,High Per-User Damage Incidents
USA,2020,Ransomware,Banking,27.45,60428,Nation-state,Weak Passwords,Antivirus,27,454.25961474813,11.009224401146534,3.34814816057234,3,High Per-User Damage Incidents
France,2020,SQL Injection,Healthcare,66.92,234301,Insider,Zero-day,AI-based Detection,32,285.61551167088487,12.364366160524328,4.218330542003092,0,High Loss Fast Resolution Incidents
USA,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46,320.7451409291387,12.541783878375739,4.507998274235818,2,High Loss Long Resolution Incidents
Japan,2017,DDoS,Healthcare,5.5,751586,Nation-state,Social Engineering,AI-based Detection,24,7.317858501888008,13.529942249937589,1.8718021769015913,1,Low Loss Wide Exposure Incidents
Russia,2023,SQL Injection,Retail,34.87,446911,Unknown,Weak Passwords,Firewall,25,78.0244836220187,13.010116986205707,3.579901291544191,0,High Loss Fast Resolution Incidents
Japan,2023,SQL Injection,Telecommunications,31.46,192430,Nation-state,Unpatched Software,AI-based Detection,49,163.4880216182508,12.167492926896005,3.480008562086445,2,High Loss Long Resolution Incidents
France,2020,DDoS,Retail,40.72,743271,Nation-state,Social Engineering,Firewall,10,54.78486312529347,13.518817340153193,3.7309806301325716,0,High Loss Fast Resolution Incidents
China,2015,Phishing,Retail,14.72,914743,Insider,Social Engineering,AI-based Detection,69,16.09195150987764,13.72639952369077,2.7549337870010606,2,High Loss Long Resolution Incidents
UK,2016,Ransomware,Healthcare,61.66,639896,Hacker Group,Social Engineering,VPN,63,96.35940840386563,13.369062504884026,4.137723285524046,2,High Loss Long Resolution Incidents
Japan,2017,SQL Injection,Education,11.49,364107,Hacker Group,Social Engineering,AI-based Detection,28,31.556657795647983,12.805205805907862,2.5249283241374862,1,Low Loss Wide Exposure Incidents
Russia,2022,Man-in-the-Middle,Education,96.44,106169,Nation-state,Unpatched Software,Encryption,28,908.3630815021334,11.57279686200762,4.579236803961587,3,High Per-User Damage Incidents
UK,2018,Ransomware,Retail,28.98,981029,Nation-state,Weak Passwords,Antivirus,42,29.54041113973185,13.796358319119665,3.4005304926744517,2,High Loss Long Resolution Incidents
China,2018,SQL Injection,Education,15.36,907858,Nation-state,Social Engineering,Encryption,47,16.918945473851636,13.718844359181645,2.794839331174601,1,Low Loss Wide Exposure Incidents
Japan,2016,Man-in-the-Middle,IT,57.14,590262,Insider,Unpatched Software,Antivirus,15,96.80446987947725,13.288323479271083,4.06285389513073,0,High Loss Fast Resolution Incidents
Germany,2015,DDoS,IT,91.79,846200,Unknown,Social Engineering,AI-based Detection,26,108.4731741904987,13.648512199021129,4.530338875365088,0,High Loss Fast Resolution Incidents
USA,2022,Man-in-the-Middle,Banking,65.51,977913,Hacker Group,Weak Passwords,Antivirus,70,66.98959927928149,13.793177010590156,4.19735231229633,2,High Loss Long Resolution Incidents
Australia,2024,SQL Injection,IT,98.31,694333,Insider,Unpatched Software,VPN,48,141.58912222233425,13.450708391728163,4.598246270915268,2,High Loss Long Resolution Incidents
China,2015,Ransomware,Government,86.88,99312,Unknown,Zero-day,AI-based Detection,60,874.818753020783,11.506031757879363,4.47597224751641,3,High Per-User Damage Incidents
India,2016,Man-in-the-Middle,IT,23.38,618125,Nation-state,Zero-day,VPN,16,37.82406471183013,13.334447599153558,3.1937631240531257,0,High Loss Fast Resolution Incidents
India,2024,Malware,Healthcare,13.74,330581,Unknown,Zero-day,AI-based Detection,54,41.56318723701604,12.708610016425819,2.6905648867611904,1,Low Loss Wide Exposure Incidents
Brazil,2023,Ransomware,Telecommunications,71.4,66852,Hacker Group,Weak Passwords,VPN,58,1068.030874169808,11.110251458112545,4.282206299391671,3,High Per-User Damage Incidents
USA,2020,Ransomware,Healthcare,17.24,682791,Insider,Social Engineering,Encryption,44,25.249307621219376,13.433945553372157,2.9036169846461855,1,Low Loss Wide Exposure Incidents
China,2016,Phishing,Government,37.62,465317,Insider,Social Engineering,Firewall,20,80.84810999813031,13.050476321804041,3.653770277000368,0,High Loss Fast Resolution Incidents
Australia,2018,SQL Injection,Banking,71.01,840106,Insider,Weak Passwords,VPN,44,84.5250480296534,13.641284543659612,4.276804998260776,2,High Loss Long Resolution Incidents
France,2020,DDoS,Education,16.35,728830,Insider,Zero-day,AI-based Detection,45,22.433214878641113,13.499197159698351,2.8535925063928684,1,Low Loss Wide Exposure Incidents
Japan,2020,Malware,Education,66.93,640603,Hacker Group,Unpatched Software,VPN,23,104.47968554627438,13.370166760283814,4.218477763203211,0,High Loss Fast Resolution Incidents
UK,2020,Ransomware,Education,35.16,100749,Unknown,Zero-day,Firewall,62,348.9860941547807,11.52039747980893,3.5879535355239756,3,High Per-User Damage Incidents
India,2018,Phishing,IT,13.05,400964,Nation-state,Weak Passwords,VPN,19,32.54656278369131,12.901629420683918,2.642622395779755,1,Low Loss Wide Exposure Incidents
UK,2017,Man-in-the-Middle,Telecommunications,89.07,932075,Unknown,Unpatched Software,Firewall,72,95.56097953490867,13.745169635407487,4.5005871457956514,2,High Loss Long Resolution Incidents
China,2021,Man-in-the-Middle,Banking,33.3,935265,Nation-state,Unpatched Software,Firewall,20,35.604882038780445,13.748586259789263,3.535145354171894,0,High Loss Fast Resolution Incidents
